FWC CONSTANT T_ALERTE LIST;CONSTANT BLOCK: CST_ALERTE;DATE: 2020/12/02_11:35:15;VARIANTE: ;ISSUE: ;;;;;;;;;;;;;;;;;
NAME;IDALERTE;PRIORITY;TITLE;TYPE;SUBTYPE;Spare CLR;Spare RCL;C;EC;FLIGHTPHASE;TD;Sound;SynthVoice;Hybride;SystPage;ML;Msg Spare;Msg CMF Compute;Msg CMF Display;Msg Classe4;CL Phase
FWAL_21_31_220;2131W220;468;CAB PRESS CAB V/S MAN CTL FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;PRESS;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_400;2131W400;469;COND RAM AIR FAULT;INDEPENDENT;LEVEL_2;;;C;EC;XXXXXXX8XXXXX;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_31_500;2131M500;35;RAM AIR (MEMO);MEMO;WD_RIGHT;;;;;12XXXXX8XXXCD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_21_51_300;2151M300;33;AIR FLOW HI (MEMO);MEMO;WD_RIGHT;;;;;123456789ABCD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_21_51_310;2151M310;34;AIR FLOW LO (MEMO);MEMO;WD_RIGHT;;;;;123456789ABCD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_21_51_320;2151M320;32;AIR FLOW MAN (MEMO);MEMO;WD_RIGHT;;;;;123456789ABCD;0.60;NO_SOUND;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;NO_ML;FAUX;FAUX;FAUX;FAUX;0
FWAL_21_53_010;2153W010;365;AIR PACK 1+2 FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;BLEED;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_53_020;2153W020;520;AIR PACK 1 OVHT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.00;SC;NO_SYNTHVOICE;NO_HYBRIDE;BLEED;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_53_030;2153W030;521;AIR PACK 2 OVHT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.00;SC;NO_SYNTHVOICE;NO_HYBRIDE;BLEED;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_53_040;2153W040;522;AIR PACK 1 FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;BLEED;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_53_050;2153W050;523;AIR PACK 2 FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;BLEED;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_53_060;2153W060;623;AIR PACK 1 OFF;INDEPENDENT;LEVEL_2;;;C;EC;XXXXXXX8XXXXX;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;BLEED;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_53_070;2153W070;624;AIR PACK 2 OFF;INDEPENDENT;LEVEL_2;;;C;EC;XXXXXXX8XXXXX;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;BLEED;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_53_080;2153W080;743;AIR PACK 1 REGUL FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;BLEED;CAUT;FAUX;VRAI;FAUX;FAUX;3
FWAL_21_53_090;2153W090;744;AIR PACK 2 REGUL FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;BLEED;CAUT;FAUX;VRAI;FAUX;FAUX;3
FWAL_21_53_400;2153W400;753;AIR PACK BAY 1 VENT FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXXXXXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_53_410;2153W410;754;AIR PACK BAY 2 VENT FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXXXXXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_53_420;2153W420;461;AIR PACK BAY 1+2 VENT FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXXXXXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_58_010;2158W010;524;AIR OVHT ON FUEL INERTING 1;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXXXXXXCD;0.00;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_58_020;2158W020;525;AIR OVHT ON FUEL INERTING 2;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXXXXXXCD;0.00;SC;NO_SYNTHVOICE;NO_HYBRIDE;NO_SYSTPAGE;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_61_010;2161W010;742;COND TEMP CTL FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_61_050;2161W050;883;COND PURSER TEMP SEL FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXXD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
FWAL_21_61_610;2161W610;892;COND HOT AIR 1 FAULT;INDEPENDENT;LEVEL_2;;;C;EC;12XXXXX8XXXCD;0.60;SC;NO_SYNTHVOICE;NO_HYBRIDE;COND;CAUT;FAUX;VRAI;FAUX;FAUX;0
